ILE-DE-FRANCE;ARGENTEUIL;23301;JEAN GABIN (EX-GALILEE);PARC DE L'HOTEL DE VILLE;12-14 BOULEVARD LEON FEIX;ARGENTEUIL;95100
ILE-DE-FRANCE;ARGENTEUIL;23323;LE FIGUIER BLANC;3TER RUE GREGOIRE COLLAS;;ARGENTEUIL;95100
PROVENCE-ALPES-COTE D'AZUR;ARGENTIERE LA BESSEE;23392;L EAU VIVE;AVENUE CHARLES DE GAULLE;;L ARGENTIERE LA BESSEE;05120
POITOU-CHARENTES;ARGENTON-CHATEAU;23491;LE COMMYNES;RUE DE LA FRERIE;;ARGENTON-LES-VALLEES;79150
CENTRE;ARGENTON-SUR-CREUSE;23513;EDEN PALACE;8 RUE BARBES;;ARGENTON SUR CREUSE;36200
BRETAGNE;ARGENTRE-DU-PLESSIS;23541;CIN EVASION; 6 RUE AMBROISE PARE;;ARGENTRE DU PLESSIS;35370
CENTRE;ARGENT-SUR-SAULDRE;23561;L'ARGENTIS (EX-MODERN'CINEMA);PLACE NICOLAS LEBLANC;;ARGENT SUR SAULDRE;18410
PROVENCE-ALPES-COTE D'AZUR;ARLES;23933;FEMINA;8 BD EMILE ZOLA;;ARLES;13200
PROVENCE-ALPES-COTE D'AZUR;ARLES;23951;ACTES SUD LE MEJAN;23 QUAI MARX DORMOY;;ARLES;13200
ILE-DE-FRANCE;ARPAJON;24753;STARS;13 AV DU GENERAL DE GAULLE;;ARPAJON;91290
NORD-PAS-DE-CALAIS;ARRAS;25032;CINEMOVIDA;48 GRAND' PLACE;;ARRAS;62000
LORRAINE;ARS-SUR-MOSELLE;25571; UNION;3, RUE DU MOULIN;;ARS SUR MOSELLE;57130
CENTRE;ARTENAY;25722;CINEMOBILE NORD;MAIRIE;PLACE DE L'EGLISE;ARTHENAY;45410
AQUITAINE;ARUDY;26132;ST MICHEL;RUE ST MICHEL;;ARUDY;64260
BRETAGNE;ARZON;26402;LA LOCOMOTIVE;PLACE DE L'ANCIENNE GARE;;ARZON;56640
ILE-DE-FRANCE;ASNIERES-SUR-SEINE;26662;L ALCAZAR;1 RUE DE LA STATION;;ASNIERES;92600
PAYS-DE-LA-LOIRE;ATHEE;27461;SALLE D ANIMATION;SALLE D ANIMATION;;ATHEE;53400
ILE-DE-FRANCE;ATHIS-MONS;27573;CINEMA VENTURA;RUE SAMUEL DESBORDES;;ATHIS MONS;91200
PROVENCE-ALPES-COTE D'AZUR;AUBAGNE;27833;PAGNOL 1  EX NEMO;COURS FOCH;;AUBAGNE;13400
PROVENCE-ALPES-COTE D'AZUR;AUBAGNE;27834;PALACE;11 AV LOUIS DELFIEU;;AUBAGNE;13400
RHONE-ALPES;AUBENAS;27961;CINEMA PALACE (EX CLUB);35 BD GAMBETTA;;AUBENAS;07200
RHONE-ALPES;AUBENAS;27963;LE NAVIRE SALLE;RUE SILHOL;;AUBENAS;07200
ILE-DE-FRANCE;AUBERGENVILLE;28113;PAUL GRIMAULT  EX CINE 83;1 AV DE LA DIVISION LECLERC;;AUBERGENVILLE;78410
ILE-DE-FRANCE;AUBERVILLIERS;28264;STUDIO;2 RUE EDOUARD POISSON;;AUBERVILLIERS;93300
AUVERGNE;AUBIERE;28462;CINE DOME;AVENUE LAVOISIER;;AUBIERE;63170
PAYS-DE-LA-LOIRE;AUBIGNY;28661;LE CARFOUR;ROUTE DE NESMY;;NIEUL LE DOLENT;85430
CENTRE;AUBIGNY-SUR-NERE;28732;ATOMIC;23 RUE DU PRIEURE;;AUBIGNY SUR NERE;18700
LIMOUSIN;AUBUSSON;28991;COLBERT;GRANDE RUE;;AUBUSSON;23200
MIDI-PYRENEES;AUCAMVILLE;29062;JEAN MARAIS;RUE DES ECOLES;;AUCAMVILLE;31140
MIDI-PYRENEES;AUCH;29123;CINE 32 1;73 AVENUE DE L'YSER;;AUCH;32000
NORD-PAS-DE-CALAIS;AUCHEL;29144;CINE THEATRE LOUIS ARAGON;61 BIS RUE JEAN JAURES;;AUCHEL;62260
BRETAGNE;AUDIERNE;29373;CINE GOYEN;13 RUE LOUIS PASTEUR;;AUDIERNE;29113
FRANCHE-COMTE;AUDINCOURT;720450;MEGARAMA;ESPACE LUMIERE;12 BOULEVARD MOISE FOGLIA;AUDINCOURT;25400
LORRAINE;AUDUN-LE-TICHE;29563;CINE AUDUN;31 RUE LECLERC;;AUDUN LE TICHE;57390
AUVERGNE;AUGEROLLES;29741;SALLE POLYVALENTE;SALLE POLYVALENTE;;AUGEROLLES;69930
ILE-DE-FRANCE;AULNAY-SOUS-BOIS;30164;ESPACE JACQUES PREVERT;134 RUE ANATOLE FRANCE;;AULNAY SOUS BOIS;93600
HAUTE-NORMANDIE;AUMALE;30482;CHANTECLER;25 BD DES FONTAINES;;AUMALE;76390
BASSE-NORMANDIE;AUNAY-SUR-ODON;30761;CINEMA PARADISO THEATRE;RUE DE VERDUN;;AUNAY SUR ODON;14260
